PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
1049589,PGC1049589,6821.6,6868.119289951454,34.61,0.54,83.5603,20.7797
26101,IC0530,4961.6,4942.082250775191,34.6104,0.302478,83.5743,11.6416
69825,NGC7386,7316.2,7392.1718747611785,34.6104,0.348706,83.5759,13.421
91048,PGC091048,4992.0,4926.379797449697,34.6114,0.0252763,83.6153,0.973294
1056,UGC00149,5477.0,5509.607644921947,34.612,0.237448,83.6367,9.14559
1158,UGC00165,6043.5,6125.668784555108,34.6124,0.273823,83.6515,10.5485
1274667,PGC1274667,9216.5,9214.608543745357,34.6127,0.257203,83.6626,9.90952
64674,ESO186-041,6180.0,6014.825378063226,34.6135,0.259875,83.6938,10.0162
32087,UGC05861,7732.1,7888.708877916569,34.6143,0.0223607,83.7254,0.86216
5326,NGC0548,5401.2,5316.877450097341,34.6147,0.310469,83.7428,11.9732
22381,UGC04132,5195.2,5248.678312071954,34.6158,0.348805,83.7841,13.4583
16469,UGC03219,8479.8,8364.618712048254,34.6168,0.293104,83.8225,11.3143
51107,ESO511-023,6787.8,6753.799980562438,34.6181,0.335563,83.873,12.9611
37264,NGC3947,6204.0,6322.426963999943,34.6182,0.299626,83.8764,11.5735
35853,ESO216-021,5084.0,4880.838575219185,34.6183,0.3652,83.881,14.1072
25308,UGC04719,5072.4,5232.453997290921,34.6185,0.317461,83.887,12.2639
16858,UGC03250,4529.3,4709.140276123778,34.6191,0.593634,83.9114,22.9396
71587,UGC12629,5215.2,5359.902526506027,34.6191,0.235434,83.9117,9.09781
50030,UGC08951,5870.8,6010.014680952033,34.6192,0.29587,83.9132,11.4334
67185,ESO403-014,5005.3,4896.71573632778,34.6192,0.252339,83.9145,9.75139
30372,UGC05599,5266.9,5432.036367940046,34.6198,0.271533,83.9393,10.4963
1326,PGC001326,6246.0,6185.618612428091,34.62,0.49,83.946,18.9427
1383,NGC0086,5594.4,5664.426273546198,34.62,0.4,83.946,15.4634
4036,IC1630,6840.0,6590.9830146564855,34.62,0.43,83.946,16.6232
7321,PGC007321,5762.5,5664.4264252342555,34.62,0.46,83.946,17.7829
8847,IC0220,5868.5,5703.797154887159,34.62,0.4,83.946,15.4634
11025,PGC011025,6715.4,6471.940908672514,34.62,0.59,83.946,22.8086
12098,NGC1250,6015.0,6101.857378305612,34.62,0.4,83.946,15.4634
12175,UGC02631,7008.1,6908.649308917956,34.62,0.2,83.946,7.73171
16331,PGC016331,5962.9,5741.785549198978,34.62,0.4,83.946,15.4634
18444,ESO555-036,6434.4,6201.089277362995,34.62,0.54,83.946,20.8756
26940,PGC026940,7684.1,7898.170912253858,34.62,0.46,83.946,17.7829
28943,PGC028943,10374.3,10285.049165787103,34.62,0.48,83.946,18.5561
33139,PGC033139,8253.3,8480.074227135106,34.62,0.46,83.946,17.7829
33759,NGC3541,6274.0,6215.5953796455915,34.62,0.54,83.946,20.8756
44918,ESO443-034,5272.5,5185.00686456696,34.62,0.47,83.946,18.1695
50464,UGC09041,5714.3,5869.824838900301,34.62,0.2,83.946,7.73171
51750,PGC051750,8090.3,8254.786336323887,34.62,0.2,83.946,7.73171
52832,UGC09530,8573.9,8737.195767915913,34.62,0.43,83.946,16.6232
55968,UGC10015,4443.8,4672.179123601524,34.62,0.2,83.946,7.73171
59463,PGC059463,7364.3,7505.219301528568,34.62,0.49,83.946,18.9427
67136,PGC067136,8985.0,8936.997067687946,34.62,0.56,83.946,21.6488
988316,PGC988316,6559.4,6519.846144150511,34.62,0.54,83.946,20.8756
3081708,PGC3081708,8700.3,8576.130623742021,34.62,0.57,83.946,22.0354
4077681,6dFJ1741587-033402,7954.9,8087.389402807624,34.62,0.68,83.946,26.2878
8417,UGC01690,4911.5,4958.137755129063,34.6204,0.270144,83.9633,10.4455
70848,UGC12459,7999.3,8119.206717676995,34.6209,0.268897,83.9805,10.3994
725,ESO241-021,6086.1,5862.58016035644,34.6218,0.330583,84.0166,12.7906
58433,ESO069-005,4761.0,4559.232561390932,34.6221,0.2603,84.0264,10.0725
